Date,SPY_Price,QQQ_Price,VTI_Price,SPY_MA50,QQQ_MA50,VTI_MA50
2016-09-07,187.5470123291016,110.29528045654295,96.51181030273438,184.9125833129883,106.81507690429687,94.77127136230469
2016-09-08,187.1189117431641,109.64990234375,96.26359558105467,185.17479553222657,107.0539630126953,94.91867156982421
2016-09-09,182.6402282714844,106.89064025878906,93.8668441772461,185.2881753540039,107.20305572509766,94.98629379272461
2016-09-12,185.26058959960932,108.80806732177734,95.17649841308594,185.40566436767577,107.36748794555665,95.0552864074707
2016-09-13,182.597396850586,107.83536529541016,93.68758392333984,185.46235412597656,107.50236450195312,95.0909049987793
2016-09-14,182.5288848876953,108.34976196289062,93.69618225097656,185.54353424072266,107.65987533569336,95.14039184570312
2016-09-15,184.3528594970703,110.03341674804688,94.6595687866211,185.6397863769531,107.83459686279296,95.19801818847657
2016-09-16,183.6402282714844,109.98089599609376,94.28108215332033,185.7240124511719,108.00228210449218,95.2489306640625
2016-09-19,183.67469787597656,109.50267028808594,94.418701171875,185.75549224853515,108.12897598266602,95.27400619506835
2016-09-20,183.68331909179688,109.7089385986328,94.37567901611328,185.77430053710938,108.2480093383789,95.290517578125
2016-09-21,185.74887084960932,110.78728485107422,95.45948028564452,185.80787231445314,108.37813385009765,95.31312591552734
2016-09-22,186.9193878173828,111.66871643066406,96.1562042236328,185.86536865234376,108.53093811035156,95.35069564819337
2016-09-23,185.89517211914065,110.95606994628906,95.60572814941406,185.88182769775392,108.6552719116211,95.3681819152832
2016-09-26,184.38902282714844,110.02777099609376,94.8487777709961,185.87313079833984,108.7644075012207,95.37258438110352
2016-09-27,185.53369140625,111.11546325683594,95.3906707763672,185.87739379882814,108.8814533996582,95.38251724243165
2016-09-28,186.45462036132807,111.3030014038086,95.94976043701172,185.90384338378905,109.0099201965332,95.40739852905273
2016-09-29,184.7677154541016,110.4966049194336,95.01219940185548,185.8811407470703,109.09775329589844,95.40342788696289
2016-09-30,186.1620483398437,111.32174682617188,95.76055145263672,185.90036804199218,109.206953125,95.4219563293457
2016-10-03,185.71446228027344,111.16236877441406,95.46810150146484,185.89403076171874,109.30417266845703,95.42556304931641
2016-10-04,184.7677154541016,110.99358367919922,95.0380401611328,185.8788641357422,109.39782913208008,95.42553298950196
2016-10-05,185.58534240722656,111.3874053955078,95.40787506103516,185.87833740234376,109.49693008422851,95.43084518432617
2016-10-06,185.71446228027344,111.33116912841795,95.4422836303711,185.88433166503907,109.58012863159179,95.43907150268555
2016-10-07,185.07752990722656,111.08733367919922,95.08102416992188,185.8733056640625,109.65096755981445,95.4376756286621
2016-10-10,186.04151916503903,111.7906265258789,95.59709167480467,185.87556579589844,109.73119537353516,95.44214965820312
2016-10-11,183.6918792724609,110.19654083251952,94.32410430908205,185.83391510009767,109.76813095092774,95.42373260498047
2016-10-12,183.9329071044922,110.10276794433594,94.43592071533205,185.82089141845702,109.81965255737305,95.4219320678711
2016-10-13,183.33041381835932,109.7089385986328,94.10043334960938,185.7850277709961,109.85618927001953,95.4064028930664
2016-10-14,183.425048828125,109.84024047851562,94.07464599609376,185.74711791992186,109.88917816162109,95.38813217163086
2016-10-17,182.7881622314453,109.54016876220705,93.80799102783205,185.66615600585936,109.89540161132813,95.34877868652343
2016-10-18,183.9329071044922,110.51537322998048,94.35848999023438,185.61031524658202,109.92356033325196,95.32163284301758
2016-10-19,184.42344665527344,110.5059814453125,94.6595687866211,185.5620590209961,109.94648040771484,95.29879699707031
