Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.96875,43.96875,43.75,43.9375,24.24141311645508,1003200
1993-02-01,43.96875,44.25,43.96875,44.25,24.413820266723636,480500
1993-02-02,44.21875,44.375,44.125,44.34375,24.465532302856445,201300
1993-02-03,44.40625,44.84375,44.375,44.8125,24.724166870117188,529400
1993-02-04,44.96875,45.09375,44.46875,45.0,24.827613830566406,531500
1993-02-05,44.96875,45.0625,44.71875,44.96875,24.81037712097168,492100
1993-02-08,44.96875,45.125,44.90625,44.96875,24.81037712097168,596100
1993-02-09,44.8125,44.8125,44.5625,44.65625,24.637943267822266,122100
1993-02-10,44.65625,44.75,44.53125,44.71875,24.67243766784668,379600
1993-02-11,44.78125,45.125,44.78125,44.9375,24.793123245239254,19500
1993-02-12,44.875,44.875,44.59375,44.59375,24.60347366333008,42500
1993-02-16,44.46875,44.46875,43.40625,43.46875,23.9827938079834,374800
1993-02-17,43.46875,43.53125,43.28125,43.4375,23.96553421020508,210900
1993-02-18,43.9375,43.9375,42.8125,43.40625,23.94829559326172,378100
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.034503936767575,34900
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.12070655822754,513600
1993-02-23,43.84375,43.875,43.46875,43.6875,24.103479385375977,373700
1993-02-24,43.71875,44.25,43.71875,44.25,24.413820266723636,26300
1993-02-25,44.21875,44.375,44.125,44.34375,24.465532302856445,44500
1993-02-26,44.4375,44.4375,44.1875,44.40625,24.50002670288086,66200
1993-03-01,44.5625,44.5625,44.21875,44.28125,24.431055068969727,66500
1993-03-02,44.3125,44.9375,44.25,44.9375,24.793123245239254,182400
1993-03-03,45.0,45.15625,44.9375,45.125,24.896574020385746,280100
1993-03-04,45.1875,45.1875,44.875,44.875,24.75865364074707,89500
1993-03-05,44.9375,45.125,44.71875,44.75,24.6896915435791,40000
1993-03-08,44.84375,45.75,44.84375,45.75,25.24141311645508,50800
1993-03-09,45.65625,45.6875,45.5,45.59375,25.15520477294922,169300
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.206926345825195,194400
1993-03-11,45.71875,45.84375,45.5,45.5625,25.13797378540039,70900
1993-03-12,45.1875,45.21875,44.8125,45.09375,24.87933349609375,643600
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.000030517578125,310800
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.000030517578125,30800
1993-03-17,45.25,45.25,44.96875,45.03125,24.844860076904297,21800
1993-03-18,45.21875,45.5,45.21875,45.3125,25.000030517578125,59300
1993-03-19,45.28125,45.28125,45.03125,45.03125,24.96219825744629,66900
1993-03-22,44.59375,44.875,44.5625,44.78125,24.8236083984375,183400
1993-03-23,44.90625,44.9375,44.8125,44.875,24.87558364868164,55200
1993-03-24,44.8125,45.0625,44.59375,44.875,24.87558364868164,37200
1993-03-25,44.90625,45.25,44.84375,45.15625,25.031482696533203,110100
1993-03-26,45.125,45.15625,44.875,44.90625,24.89290809631348,101500
1993-03-29,44.9375,45.3125,44.9375,45.09375,24.9968376159668,87100
1993-03-30,45.15625,45.21875,45.09375,45.21875,25.066137313842773,56000
1993-03-31,45.34375,45.46875,45.1875,45.1875,25.048810958862305,111600
1993-04-01,45.25,45.25,44.9375,45.03125,24.96219825744629,129500
1993-04-02,44.65625,44.65625,44.09375,44.09375,24.44250869750977,59400
1993-04-05,44.4375,44.4375,44.1875,44.3125,24.56377410888672,172200
1993-04-06,44.40625,44.40625,44.0625,44.1875,24.49447631835937,129700
1993-04-07,44.25,44.34375,44.15625,44.34375,24.58108711242676,28000
1993-04-08,44.53125,44.53125,44.09375,44.28125,24.54643440246582,180800
1993-04-12,44.71875,44.9375,44.65625,44.90625,24.89290809631348,348500
1993-04-13,44.875,45.15625,44.84375,45.0,24.94487190246582,146100
1993-04-14,45.03125,45.0625,44.90625,44.9375,24.910219192504883,119600
1993-04-15,44.90625,45.03125,44.75,44.9375,24.910219192504883,148600
1993-04-16,44.96875,45.03125,44.875,44.9375,24.910219192504883,47900
1993-04-19,44.9375,45.0625,44.71875,44.75,24.806293487548828,157000
1993-04-20,44.6875,44.75,44.25,44.53125,24.685029983520508,279500
1993-04-21,44.625,44.625,44.375,44.5,24.66771507263184,67900
1993-04-22,44.3125,44.6875,43.9375,43.9375,24.355897903442383,97700
1993-04-23,43.84375,43.96875,43.6875,43.75,24.251955032348636,106000
1993-04-26,43.78125,43.9375,43.28125,43.40625,24.0613956451416,62600
1993-04-27,43.34375,43.875,43.34375,43.875,24.321231842041016,156800
1993-04-28,43.8125,43.90625,43.71875,43.78125,24.2692813873291,85900
1993-04-29,43.875,43.96875,43.625,43.96875,24.37322425842285,85000
1993-04-30,44.125,44.28125,44.03125,44.03125,24.40785789489746,88500
1993-05-03,44.09375,44.3125,43.90625,44.3125,24.56377410888672,80500
1993-05-04,44.40625,44.625,44.34375,44.46875,24.650373458862305,149100
1993-05-05,44.46875,44.75,44.46875,44.59375,24.719675064086918,109000
1993-05-06,44.53125,44.5625,44.40625,44.4375,24.63306427001953,54700
1993-05-07,44.46875,44.46875,44.28125,44.34375,24.58108711242676,68000
1993-05-10,44.40625,44.6875,44.40625,44.4375,24.63306427001953,113900
1993-05-11,44.4375,44.625,44.3125,44.625,24.736995697021484,42600
1993-05-12,44.4375,44.59375,44.4375,44.5625,24.702354431152344,31000
1993-05-13,44.375,44.375,44.0,44.03125,24.40785789489746,129100
1993-05-14,44.03125,44.15625,43.96875,44.0,24.390539169311523,63500
1993-05-17,44.125,44.15625,43.9375,44.15625,24.477163314819336,34000
1993-05-18,44.1875,44.21875,43.96875,44.125,24.459814071655277,105200
1993-05-19,44.125,45.03125,43.84375,45.03125,24.96219825744629,50200
1993-05-20,45.03125,45.15625,44.9375,45.15625,25.031482696533203,98200
1993-05-21,45.1875,45.25,44.71875,44.75,24.806293487548828,221400
1993-05-24,44.84375,45.09375,44.84375,44.9375,24.910219192504883,30500
1993-05-25,45.125,45.125,45.03125,45.03125,24.96219825744629,191800
1993-05-26,45.15625,45.625,45.125,45.59375,25.27401161193848,102400
1993-05-27,45.65625,45.65625,45.375,45.4375,25.18739318847656,53800
1993-05-28,45.40625,45.40625,45.0,45.21875,25.066137313842773,79100
1993-06-01,45.375,45.8125,45.3125,45.65625,25.30863571166992,28300
1993-06-02,45.53125,45.75,45.34375,45.59375,25.27401161193848,20300
1993-06-03,45.5,45.5,45.34375,45.4375,25.18739318847656,21600
1993-06-04,45.3125,45.3125,45.09375,45.28125,25.100780487060547,32000
1993-06-07,45.375,45.375,45.125,45.125,25.014162063598636,121400
1993-06-08,45.0,45.0,44.71875,44.71875,24.78895568847656,104500
1993-06-09,44.875,45.0625,44.8125,44.875,24.87558364868164,43300
1993-06-10,44.84375,44.9375,44.75,44.90625,24.89290809631348,17900
1993-06-11,45.0625,45.15625,44.90625,45.09375,24.9968376159668,647400
1993-06-14,45.15625,45.1875,45.03125,45.03125,24.96219825744629,64200
1993-06-15,45.09375,45.125,44.9375,44.9375,24.910219192504883,142400
1993-06-16,44.9375,45.03125,44.8125,45.03125,24.96219825744629,330900
1993-06-17,45.125,45.1875,45.03125,45.1875,25.048810958862305,37400
1993-06-18,44.84375,44.84375,44.5,44.5,24.842544555664062,58500
1993-06-21,44.625,44.625,44.53125,44.59375,24.89486312866211,29300
1993-06-22,44.65625,44.65625,44.5625,44.625,24.912322998046875,137500
1993-06-23,44.625,44.625,44.21875,44.21875,24.68552017211914,227600
1993-06-24,44.34375,44.8125,44.34375,44.8125,25.016992568969727,243700
1993-06-25,44.78125,44.90625,44.75,44.78125,24.99953842163086,44800
1993-06-28,45.0,45.28125,44.9375,45.28125,25.27866554260254,439900
1993-06-29,45.21875,45.21875,45.0,45.0625,25.15654563903809,207500
1993-06-30,45.125,45.21875,45.0,45.0625,25.15654563903809,437600
1993-07-01,45.125,45.125,44.875,44.9375,25.08675765991211,605700
1993-07-02,44.78125,44.8125,44.53125,44.6875,24.94720458984375,285400
1993-07-06,44.625,44.75,44.15625,44.21875,24.68552017211914,246400
1993-07-07,44.1875,44.40625,44.1875,44.34375,24.755294799804688,343700
1993-07-08,44.375,44.9375,44.3125,44.84375,25.034427642822266,248200
1993-07-09,44.84375,44.96875,44.75,44.96875,25.104211807250977,378200
1993-07-12,44.90625,44.96875,44.84375,44.9375,25.08675765991211,373700
1993-07-13,44.96875,45.09375,44.65625,44.90625,25.06932830810547,389600
1993-07-14,44.9375,45.1875,44.90625,45.0625,25.15654563903809,617300
1993-07-15,45.03125,45.03125,44.78125,44.875,25.05188751220703,443800
1993-07-16,44.90625,44.9375,44.6875,44.75,24.982105255126957,216400
1993-07-19,44.75,44.75,44.59375,44.71875,24.96466064453125,188200
1993-07-20,44.6875,44.84375,44.46875,44.84375,25.034427642822266,68500
1993-07-21,44.78125,44.8125,44.65625,44.8125,25.016992568969727,142700
1993-07-22,44.75,44.8125,44.5,44.5,24.842544555664062,632400
1993-07-23,44.59375,44.71875,44.5625,44.71875,24.96466064453125,286200
1993-07-26,44.84375,45.0625,44.84375,44.96875,25.104211807250977,121300
1993-07-27,45.0,45.03125,44.78125,44.9375,25.08675765991211,92800
1993-07-28,44.84375,44.9375,44.78125,44.84375,25.034427642822266,30800
1993-07-29,44.9375,45.21875,44.875,45.09375,25.17398834228516,331000
1993-07-30,45.09375,45.09375,44.78125,44.84375,25.034427642822266,75300
1993-08-02,44.90625,45.125,44.90625,44.96875,25.104211807250977,41300
1993-08-03,45.0625,45.1875,44.84375,45.0,25.121658325195312,81600
1993-08-04,45.0,45.09375,44.875,45.0,25.121658325195312,434000
1993-08-05,45.0,45.0,44.84375,44.90625,25.06932830810547,36800
1993-08-06,45.03125,45.0625,44.90625,44.96875,25.104211807250977,402300
1993-08-09,45.09375,45.34375,45.0,45.21875,25.243785858154297,828200
1993-08-10,45.1875,45.21875,45.125,45.1875,25.22633934020996,604900
1993-08-11,45.15625,45.3125,45.15625,45.1875,25.22633934020996,542200
1993-08-12,45.3125,45.3125,44.90625,45.0625,25.15654563903809,303700
1993-08-13,45.09375,45.15625,45.09375,45.125,25.19144630432129,103500
1993-08-16,45.15625,45.5,45.15625,45.375,25.331018447875977,241800
1993-08-17,45.34375,45.53125,45.34375,45.53125,25.418231964111328,369300
1993-08-18,45.6875,45.875,45.65625,45.78125,25.55779457092285,414300
1993-08-19,45.8125,45.8125,45.71875,45.78125,25.55779457092285,28500
1993-08-20,45.6875,45.8125,45.65625,45.8125,25.575241088867188,80700
1993-08-23,45.625,45.75,45.625,45.71875,25.52291488647461,15600
1993-08-24,45.71875,46.21875,45.71875,46.21875,25.802032470703125,273400
1993-08-25,46.21875,46.4375,46.15625,46.25,25.819486618041992,242300
1993-08-26,46.28125,46.53125,46.09375,46.28125,25.83692741394043,120000
1993-08-27,46.15625,46.25,46.15625,46.25,25.819486618041992,25700
1993-08-30,46.28125,46.5,46.28125,46.4375,25.924150466918945,183500
1993-08-31,46.40625,46.5625,46.34375,46.5625,25.993932723999023,66500
1993-09-01,46.40625,46.59375,46.40625,46.5,25.95903778076172,136500
