Date,SPY_Price,QQQ_Price,VTI_Price,SPY_MA50,QQQ_MA50,VTI_MA50,Position_SPY,Position_QQQ,Position_VTI,Shares_SPY,Shares_QQQ,Shares_VTI,Cash,Contribution,Total_Invested,Portfolio_Value,Earnings,Daily_Return,Strategy,Portfolio_Type
2001-07-12,77.57311248779297,36.82563018798828,35.997703552246094,,,,1,0,0,134.58376574055396,0,0,0.0,0,10500,10440.08159882277,-59.91840117723041,0.023736718569395198,Timing,Single
2001-07-13,78.24525451660156,36.445560455322266,36.16962814331055,,,,1,0,0,134.58376574055396,0,0,0.0,0,10500,10530.541004172326,30.54100417232621,0.00866462627646099,Timing,Single
2001-07-16,77.26591491699219,35.769859313964844,35.75112533569336,,,,1,0,0,141.0549244725402,0,0,0.0,500,11000,10898.73779291805,-101.26220708195069,0.03496466027717276,Timing,Single
2001-07-17,77.9892349243164,36.572261810302734,36.17287826538086,,,,1,0,0,141.0549244725402,0,0,0.0,0,11000,11000.765641920645,0.7656419206450664,0.00936143716283302,Timing,Single
2001-07-18,77.45794677734375,35.17862701416016,35.79654693603516,,,,1,0,0,141.0549244725402,0,0,0.0,0,11000,10925.82483247626,-74.17516752373922,-0.006812326694680883,Timing,Single
2001-07-19,78.13640594482422,36.01481628417969,35.997703552246094,,,,1,0,0,141.0549244725402,0,0,0.0,0,11000,11021.52483910292,21.52483910291994,0.008759064701659639,Timing,Single
2001-07-20,77.6691665649414,35.17862701416016,36.00094223022461,,,,1,0,0,141.0549244725402,0,0,0.0,0,11000,10955.618423662954,-44.38157633704577,-0.005979791036367166,Timing,Single
2001-07-23,76.13931274414062,34.30021286010742,35.378055572509766,,,,1,0,0,141.0549244725402,0,0,0.0,0,11000,10739.825008515872,-260.17499148412753,-0.019697054680271747,Timing,Single
2001-07-24,75.40324401855469,33.91169738769531,34.88819885253906,,,,1,0,0,141.0549244725402,0,0,0.0,0,11000,10635.99889002175,-364.0011099782496,-0.00966739387390351,Timing,Single
2001-07-25,76.23533630371094,34.2072868347168,35.329383850097656,,,,1,0,0,141.0549244725402,0,0,0.0,0,11000,10753.369604458649,-246.6303955413514,0.011035231918556375,Timing,Single
2001-07-26,77.03545379638672,34.71407699584961,35.780330657958984,,,,1,0,0,141.0549244725402,0,0,0.0,0,11000,10866.230116957187,-133.76988304281258,0.010495362537501145,Timing,Single
2001-07-27,77.32992553710938,35.4319953918457,35.84196853637695,,,,1,0,0,141.0549244725402,0,0,0.0,0,11000,10907.76680610412,-92.2331938958796,0.003822548271098485,Timing,Single
2001-07-30,77.35549926757812,35.22085952758789,35.81277847290039,,,,1,0,0,147.51858904369712,0,0,0.0,500,11500,11411.374106723872,-88.62589327612841,0.04616960644390806,Timing,Single
2001-07-31,77.67559051513672,35.27152633666992,35.95876693725586,,,,1,0,0,147.51858904369712,0,0,0.0,0,11500,11458.593515928951,-41.40648407104891,0.004137924912763716,Timing,Single
2001-08-01,78.16201782226562,36.40330123901367,36.11449432373047,,,,1,0,0,147.51858904369712,0,0,0.0,0,11500,11530.350585948932,30.35058594893235,0.0062622930048290395,Timing,Single
2001-08-02,78.48207092285156,37.08748626708984,36.22803115844727,,,,1,0,0,147.51858904369712,0,0,0.0,0,11500,11577.56436776643,77.56436776643022,0.004094739484767561,Timing,Single
2001-08-03,78.0531997680664,36.47090530395508,36.101505279541016,,,,1,0,0,147.51858904369712,0,0,0.0,0,11500,11514.297900130983,14.29790013098318,-0.00546457489898219,Timing,Single
