Date,SPY_Price,QQQ_Price,VTI_Price,SPY_MA50,QQQ_MA50,VTI_MA50,Position_SPY,Position_QQQ,Position_VTI,Contribution,Cash,Shares_SPY,Shares_QQQ,Shares_VTI,Total_Invested,Portfolio_Value,Earnings,Daily_Return,Strategy,Portfolio_Type
2001-07-26,77.03545379638672,34.71407699584961,35.780330657958984,,,,1,1,1,0.0,0.0,47.0183081575134,101.61870785548008,101.72968479739998,11000,10789.598114147195,-210.4018858528052,0.01267003541231837,Buy & Hold,Equal
2001-07-27,77.32992553710938,35.4319953918457,35.84196853637695,,,,1,1,1,0.0,0.0,47.0183081575134,101.61870785548008,101.72968479739998,11000,10882.668018886014,-117.33198111398633,0.008625891692554122,Buy & Hold,Equal
2001-07-30,77.35549926757812,35.22085952758789,35.81277847290039,,,,1,1,1,500.0,0.0,49.172863014565706,106.3507521298715,106.38351713807647,11500,11359.445602761414,-140.5543972385858,0.043810725738209655,Buy & Hold,Equal
2001-07-31,77.67559051513672,35.27152633666992,35.95876693725586,,,,1,1,1,0.0,0.0,49.172863014565706,106.3507521298715,106.38351713807647,11500,11396.104625383392,-103.89537461660802,0.0032271841341504626,Buy & Hold,Equal
2001-08-01,78.16201782226562,36.40330123901367,36.11449432373047,,,,1,1,1,0.0,0.0,49.172863014565706,106.3507521298715,106.38351713807647,11500,11556.955587917244,56.955587917243975,0.014114556492889285,Buy & Hold,Equal
2001-08-02,78.48207092285156,37.08748626708984,36.22803115844727,,,,1,1,1,0.0,0.0,49.172863014565706,106.3507521298715,106.38351713807647,11500,11657.535555323539,157.53555532353857,0.008702981216909045,Buy & Hold,Equal
2001-08-03,78.0531997680664,36.47090530395508,36.101505279541016,,,,1,1,1,0.0,0.0,49.172863014565706,106.3507521298715,106.38351713807647,11500,11557.412615593013,57.41261559301347,-0.008588688342863637,Buy & Hold,Equal
2001-08-06,77.00342559814453,35.89656066894531,35.686256408691406,,,,1,1,1,0.0,0.0,49.172863014565706,106.3507521298715,106.38351713807647,11500,11400.534594855573,-99.46540514442677,-0.01357380115734419,Buy & Hold,Equal
2001-08-07,77.3042984008789,35.71072769165039,35.75112533569336,,,,1,1,1,0.0,0.0,49.172863014565706,106.3507521298715,106.38351713807647,11500,11402.466879670832,-97.53312032916801,0.00016949071985883357,Buy & Hold,Equal
2001-08-08,75.87051391601562,34.2072868347168,35.1022834777832,,,,1,1,1,0.0,0.0,49.172863014565706,106.3507521298715,106.38351713807647,11500,11103.045446775688,-396.9545532243119,-0.026259355633733494,Buy & Hold,Equal
2001-08-09,76.09452819824219,34.35087966918945,35.206111907958984,,,,1,1,1,0.0,0.0,49.172863014565706,106.3507521298715,106.38351713807647,11500,11140.377709916573,-359.6222900834273,0.0033623444414276893,Buy & Hold,Equal
2001-08-10,76.3569564819336,34.02149200439453,35.34883117675781,,,,1,1,1,0.0,0.0,49.172863014565706,106.3507521298715,106.38351713807647,11500,11133.43441184663,-366.5655881533694,-0.0006232551759678406,Buy & Hold,Equal
