Date,SPY_Price,QQQ_Price,VTI_Price,SPY_MA50,QQQ_MA50,VTI_MA50,Position_SPY,Position_QQQ,Position_VTI,Contribution,Cash,Shares_SPY,Shares_QQQ,Shares_VTI,Total_Invested,Portfolio_Value,Earnings,Daily_Return,Strategy,Portfolio_Type
2001-06-15,77.99559783935547,35.98102188110352,36.02766799926758,,,,1,1,1,0.0,0.0,64.10618212451307,83.3772873353421,55.51289081604335,10000,10000.0,0.0,,Buy & Hold,Custom
2001-06-18,77.61795043945312,35.49958038330078,35.79789352416992,,,,1,1,1,0.0,0.0,64.10618212451307,83.3772873353421,55.51289081604335,10000,9922.893735557145,-77.10626444285481,-0.00771062644428544,Buy & Hold,Custom
2001-06-19,77.95720672607422,35.322208404541016,35.898216247558594,,,,1,1,1,0.0,0.0,64.10618212451307,83.3772873353421,55.51289081604335,10000,9935.422570805715,-64.57742919428529,0.0012626191091489325,Buy & Hold,Custom
2001-06-20,78.36686706542969,36.124603271484375,36.2768440246582,,,,1,1,1,0.0,0.0,64.10618212451307,83.3772873353421,55.51289081604335,10000,10049.604560957217,49.60456095721747,0.011492414070742862,Buy & Hold,Custom
2001-06-21,79.25659942626953,36.614501953125,36.56808853149414,,,,1,1,1,0.0,0.0,64.10618212451307,83.3772873353421,55.51289081604335,10000,10163.656153376402,163.65615337640156,0.011348863701789336,Buy & Hold,Custom
2001-06-22,78.63573455810547,36.530033111572266,36.33509826660156,,,,1,1,1,0.0,0.0,64.10618212451307,83.3772873353421,55.51289081604335,10000,10103.878131053956,103.87813105395617,-0.005881547094899187,Buy & Hold,Custom
2001-06-25,77.91239166259766,36.6229362487793,36.101505279541016,,,,1,1,1,0.0,0.0,64.10618212451307,83.3772873353421,55.51289081604335,10000,10052.28596923524,52.28596923523946,-0.005106174198612923,Buy & Hold,Custom
2001-06-26,77.80357360839844,36.74961853027344,36.0074348449707,,,,1,1,1,0.0,0.0,64.10618212451307,83.3772873353421,55.51289081604335,10000,10050.650362455424,50.65036245542433,-0.00016270993332467842,Buy & Hold,Custom
2001-06-27,77.75878143310547,36.986114501953125,36.010677337646484,,,,1,1,1,0.0,0.0,64.10618212451307,83.3772873353421,55.51289081604335,10000,10067.67729983461,67.67729983460958,0.0016941129941989708,Buy & Hold,Custom
2001-06-28,78.18763732910156,37.459110260009766,36.45187377929688,,,,1,1,1,0.0,0.0,64.10618212451307,83.3772873353421,55.51289081604335,10000,10159.098807130158,159.0988071301581,0.009080695037479103,Buy & Hold,Custom
2001-06-29,78.47566986083984,38.59935760498047,36.65950775146485,,,,1,1,1,500.0,0.0,67.29188287027698,87.26336237148844,58.24069612859571,10500,10784.160565609203,284.16056560920333,0.06152728409732022,Buy & Hold,Custom
2001-07-02,79.45499420166016,38.38818359375,36.75683975219727,,,,1,1,1,0.0,0.0,67.29188287027698,87.26336237148844,58.24069612859571,10500,10837.302073656494,337.30207365649403,0.004927737094045037,Buy & Hold,Custom
2001-07-03,79.435791015625,38.54867172241211,36.73736572265625,,,,1,1,1,0.0,0.0,67.29188287027698,87.26336237148844,58.24069612859571,10500,10848.880407801946,348.8804078019457,0.0010683779105500335,Buy & Hold,Custom
2001-07-05,77.88678741455078,36.69893646240234,36.318878173828125,,,,1,1,1,0.0,0.0,67.29188287027698,87.26336237148844,58.24069612859571,10500,10558.85791446237,58.8579144623709,-0.026732942242685742,Buy & Hold,Custom
