Date,SPY_Price,QQQ_Price,VTI_Price,SPY_MA50,QQQ_MA50,VTI_MA50,Position_SPY,Position_QQQ,Position_VTI,Shares_SPY,Shares_QQQ,Shares_VTI,Cash,Contribution,Total_Invested,Portfolio_Value,Earnings,Daily_Return,Strategy,Portfolio_Type
2001-06-15,77.99559783935547,35.98102188110352,36.02766799926758,,,,1,1,1,64.10618212451307,83.3772873353421,55.51289081604335,0.0,0,10000,10000.0,0.0,0.0,Timing,Custom
2001-06-18,77.61795043945312,35.49958038330078,35.79789352416992,,,,1,1,1,64.10618212451307,83.3772873353421,55.51289081604335,0.0,0,10000,9922.893735557143,-77.10626444285481,-0.0077106264442854,Timing,Custom
2001-06-19,77.95720672607422,35.322208404541016,35.898216247558594,,,,1,1,1,64.10618212451307,83.3772873353421,55.51289081604335,0.0,0,10000,9935.422570805717,-64.57742919428529,0.001262619109149,Timing,Custom
2001-06-20,78.36686706542969,36.124603271484375,36.2768440246582,,,,1,1,1,64.10618212451307,83.3772873353421,55.51289081604335,0.0,0,10000,10049.604560957216,49.60456095721747,0.0114924140707427,Timing,Custom
2001-06-21,79.25659942626953,36.614501953125,36.56808853149414,,,,1,1,1,64.10618212451307,83.3772873353421,55.51289081604335,0.0,0,10000,10163.656153376402,163.65615337640156,0.0113488637017893,Timing,Custom
2001-06-22,78.63573455810547,36.530033111572266,36.33509826660156,,,,1,1,1,64.10618212451307,83.3772873353421,55.51289081604335,0.0,0,10000,10103.878131053956,103.87813105395615,-0.0058815470948992,Timing,Custom
2001-06-25,77.91239166259766,36.6229362487793,36.101505279541016,,,,1,1,1,64.10618212451307,83.3772873353421,55.51289081604335,0.0,0,10000,10052.28596923524,52.28596923523946,-0.0051061741986128,Timing,Custom
2001-06-26,77.80357360839844,36.74961853027344,36.0074348449707,,,,1,1,1,64.10618212451307,83.3772873353421,55.51289081604335,0.0,0,10000,10050.650362455424,50.65036245542433,-0.0001627099333247,Timing,Custom
2001-06-27,77.75878143310547,36.986114501953125,36.010677337646484,,,,1,1,1,64.10618212451307,83.3772873353421,55.51289081604335,0.0,0,10000,10067.67729983461,67.67729983460958,0.0016941129941988,Timing,Custom
2001-06-28,78.18763732910156,37.459110260009766,36.45187377929688,,,,1,1,1,64.10618212451307,83.3772873353421,55.51289081604335,0.0,0,10000,10159.098807130158,159.0988071301581,0.009080695037479,Timing,Custom
2001-06-29,78.47566986083984,38.59935760498047,36.65950775146485,,,,1,1,1,67.29188287027698,87.26336237148844,58.24069612859571,0.0,500,10500,10784.160565609203,284.16056560920333,0.0615272840973203,Timing,Custom
2001-07-02,79.45499420166016,38.38818359375,36.75683975219727,,,,1,1,1,67.29188287027698,87.26336237148844,58.24069612859571,0.0,0,10500,10837.302073656494,337.30207365649403,0.004927737094045,Timing,Custom
2001-07-03,79.435791015625,38.54867172241211,36.73736572265625,,,,1,1,1,67.29188287027698,87.26336237148844,58.24069612859571,0.0,0,10500,10848.880407801946,348.8804078019457,0.0010683779105499,Timing,Custom
2001-07-05,77.88678741455078,36.69893646240234,36.318878173828125,,,,1,1,1,67.29188287027698,87.26336237148844,58.24069612859571,0.0,0,10500,10558.85791446237,58.8579144623709,-0.0267329422426857,Timing,Custom
2001-07-06,76.20335388183594,35.17862701416016,35.36183547973633,,,,1,1,1,67.29188287027698,87.26336237148844,58.24069612859571,0.0,0,10500,10257.170355331578,-242.82964466842168,-0.028571987763712,Timing,Custom
2001-07-09,76.61941528320312,35.48267364501953,35.58893585205078,,,,1,1,1,67.29188287027698,87.26336237148844,58.24069612859571,0.0,0,10500,10324.926525520392,-175.0734744796082,0.0066057370445831,Timing,Custom
2001-07-10,75.69764709472656,34.2072868347168,35.118534088134766,,,,1,1,1,67.29188287027698,87.26336237148844,58.24069612859571,0.0,0,10500,10124.207940966024,-375.7920590339745,-0.0194401949552129,Timing,Custom
2001-07-11,75.77447509765625,34.62961959838867,35.16394805908203,,,,1,1,1,67.29188287027698,87.26336237148844,58.24069612859571,0.0,0,10500,10168.876960219912,-331.1230397800882,0.0044121001380404,Timing,Custom
2001-07-12,77.57311248779297,36.82563018798828,35.997703552246094,,,,1,1,1,67.29188287027698,87.26336237148844,58.24069612859571,0.0,0,10500,10530.100424977863,30.10042497786344,0.035522454069514,Timing,Custom
2001-07-13,78.24525451660156,36.445560455322266,36.16962814331055,,,,1,1,1,67.29188287027698,87.26336237148844,58.24069612859571,0.0,0,10500,10552.176972709793,52.17697270979261,0.0020965182515793,Timing,Custom
2001-07-16,77.26591491699219,35.769859313964844,35.75112533569336,,,,1,1,1,70.5274622362701,91.45683706993208,61.037810878440006,0.0,500,11000,10902.937518682156,-97.06248131784378,0.0332405859833005,Timing,Custom
2001-07-17,77.9892349243164,36.572261810302734,36.17287826538086,,,,1,1,1,70.5274622362701,91.45683706993208,61.037810878440006,0.0,0,11000,11053.079513115228,53.07951311522811,0.0137707837154715,Timing,Custom
2001-07-18,77.45794677734375,35.17862701416016,35.79654693603516,,,,1,1,1,70.5274622362701,91.45683706993208,61.037810878440006,0.0,0,11000,10865.181237399003,-134.8187626009967,-0.0169996312333834,Timing,Custom
2001-07-19,78.13640594482422,36.01481628417969,35.997703552246094,,,,1,1,1,70.5274622362701,91.45683706993208,61.037810878440006,0.0,0,11000,11001.784626037364,1.7846260373626135,0.0125725826061839,Timing,Custom
2001-07-20,77.6691665649414,35.17862701416016,36.00094223022461,,,,1,1,1,70.5274622362701,91.45683706993208,61.037810878440006,0.0,0,11000,10892.553874303529,-107.44612569647144,-0.0099284575590875,Timing,Custom
2001-07-23,76.13931274414062,34.30021286010742,35.378055572509766,,,,1,1,1,70.5274622362701,91.45683706993208,61.037810878440006,0.0,0,11000,10666.300548550562,-333.69945144943813,-0.0207713754151556,Timing,Custom
2001-07-24,75.40324401855469,33.91169738769531,34.88819885253906,,,,1,1,1,70.5274622362701,91.45683706993208,61.037810878440006,0.0,0,11000,10548.955311212854,-451.0446887871458,-0.0110014936109833,Timing,Custom
2001-07-25,76.23533630371094,34.2072868347168,35.329383850097656,,,,1,1,1,70.5274622362701,91.45683706993208,61.037810878440006,0.0,0,11000,10661.603310770524,-338.39668922947567,0.010678592925494,Timing,Custom
2001-07-26,77.03545379638672,34.71407699584961,35.780330657958984,,,,1,1,1,70.5274622362701,91.45683706993208,61.037810878440006,0.0,0,11000,10791.90779818964,-208.09220181036108,0.0122218472795249,Timing,Custom
2001-07-27,77.32992553710938,35.4319953918457,35.84196853637695,,,,1,1,1,70.5274622362701,91.45683706993208,61.037810878440006,0.0,0,11000,10882.09692970105,-117.9030702989494,0.008357107306508,Timing,Custom
2001-07-30,77.35549926757812,35.22085952758789,35.81277847290039,,,,1,1,1,73.75929452184856,95.71567691688436,63.8301102828459,0.0,500,11500,11362.809064099867,-137.1909359001329,0.0441745867091833,Timing,Custom
2001-07-31,77.67559051513672,35.27152633666992,35.95876693725586,,,,1,1,1,73.75929452184856,95.71567691688436,63.8301102828459,0.0,0,11500,11400.586836410746,-99.4131635892536,0.0033246860083424,Timing,Custom
2001-08-01,78.16201782226562,36.40330123901367,36.11449432373047,,,,1,1,1,73.75929452184856,95.71567691688436,63.8301102828459,0.0,0,11500,11554.734068568843,54.73406856884321,0.0135209910130053,Timing,Custom
2001-08-02,78.48207092285156,37.08748626708984,36.22803115844727,,,,1,1,1,73.75929452184856,95.71567691688436,63.8301102828459,0.0,0,11500,11651.07526125744,151.0752612574397,0.0083378113348937,Timing,Custom
2001-08-03,78.0531997680664,36.47090530395508,36.101505279541016,,,,1,1,1,73.75929452184856,95.71567691688436,63.8301102828459,0.0,0,11500,11552.349402374986,52.34940237498631,-0.0084735405676023,Timing,Custom
2001-08-06,77.00342559814453,35.89656066894531,35.686256408691406,,,,1,1,1,73.75929452184856,95.71567691688436,63.8301102828459,0.0,0,11500,11393.43963344959,-106.56036655040953,-0.0137556235005086,Timing,Custom
2001-08-07,77.3042984008789,35.71072769165039,35.75112533569336,,,,1,1,1,73.75929452184856,95.71567691688436,63.8301102828459,0.0,0,11500,11401.985260669291,-98.01473933070884,0.0007500480534966,Timing,Custom
2001-08-08,75.87051391601562,34.2072868347168,35.1022834777832,,,,1,1,1,73.75929452184856,95.71567691688436,63.8301102828459,0.0,0,11500,11110.91182189697,-389.08817810302935,-0.0255283121419536,Timing,Custom
2001-08-09,76.09452819824219,34.35087966918945,35.206111907958984,,,,1,1,1,73.75929452184856,95.71567691688436,63.8301102828459,0.0,0,11500,11147.8064228174,-352.19357718259926,0.0033205736407447,Timing,Custom
2001-08-10,76.3569564819336,34.02149200439453,35.34883117675781,,,,1,1,1,73.75929452184856,95.71567691688436,63.8301102828459,0.0,0,11500,11144.745171248058,-355.2548287519421,-0.0002746057343691,Timing,Custom
2001-08-13,76.37617492675781,34.71407699584961,35.410491943359375,,,,1,1,1,77.03256658921435,100.0366905511496,66.65413204904883,0.0,500,12000,11716.389764992,-283.610235008,0.0512927469367992,Timing,Custom
2001-08-14,76.3441390991211,34.29176330566406,35.33262634277344,,,,1,1,1,77.03256658921435,100.0366905511496,66.65413204904883,0.0,0,12000,11666.485035002195,-333.5149649978048,-0.0042593948298747,Timing,Custom
2001-08-15,75.68488311767578,33.02481460571289,35.027679443359375,,,,1,1,1,77.03256658921435,100.0366905511496,66.65413204904883,0.0,0,12000,11468.633528769478,-531.3664712305217,-0.016958964558658,Timing,Custom
2001-08-16,75.9472885131836,33.4133415222168,35.13472366333008,,,,1,1,1,77.03256658921435,100.0366905511496,66.65413204904883,0.0,0,12000,11534.849176362412,-465.15082363758665,0.0057736300865164,Timing,Custom
2001-08-17,74.73109436035156,31.89303970336914,34.59945297241211,,,,1,1,1,77.03256658921435,100.0366905511496,66.65413204904883,0.0,0,12000,11253.398653388122,-746.6013466118784,-0.0244000176050025,Timing,Custom
2001-08-20,75.42240905761719,32.33221435546875,34.842750549316406,,,,1,1,1,77.03256658921435,100.0366905511496,66.65413204904883,0.0,0,12000,11366.802766427529,-633.1972335724713,0.0100773212193334,Timing,Custom
2001-08-21,74.13581848144531,30.98928451538086,34.35613250732422,,,,1,1,1,77.03256658921435,100.0366905511496,66.65413204904883,0.0,0,12000,11100.91603212234,-899.083967877661,-0.0233915147265949,Timing,Custom
2001-08-22,74.9039535522461,31.83390998840332,34.67405319213867,,,,1,1,1,77.03256658921435,100.0366905511496,66.65413204904883,0.0,0,12000,11265.771712496424,-734.2282875035762,0.014850637541717,Timing,Custom
2001-08-23,74.63511657714844,31.521398544311523,34.628665924072266,,,,1,1,1,77.03256658921435,100.0366905511496,66.65413204904883,0.0,0,12000,11210.774650725223,-789.2253492747768,-0.004881783793843,Timing,Custom
2001-08-24,76.18414306640625,33.19375991821289,35.26127243041992,77.0848780822754,35.24044731140137,35.697272872924806,0,0,0,0.0,0.0,0.0,11539.563471767284,0,12000,11539.563471767284,-460.4365282327162,0.0293279306101109,Timing,Custom
2001-08-27,75.72966766357422,33.23598861694336,35.13472366333008,77.03955947875977,35.18554664611816,35.67941398620606,0,0,0,0.0,0.0,0.0,12039.563471767284,500,12500,12039.563471767284,-460.4365282327162,0.0433291953567655,Timing,Custom
2001-08-28,74.62227630615234,32.19709396362305,34.547550201416016,76.97964599609375,35.11949691772461,35.65440711975098,0,0,0,0.0,0.0,0.0,12039.563471767284,0,12500,12039.563471767284,-460.4365282327162,0.0,Timing,Custom
2001-08-29,73.95660400390625,31.724103927612305,34.223114013671875,76.8996339416504,35.04753482818604,35.62090507507324,0,0,0,0.0,0.0,0.0,12039.563471767284,0,12500,12039.563471767284,-460.4365282327162,0.0,Timing,Custom
2001-08-30,72.53556823730469,30.55008316040039,33.71054458618164,76.78300796508789,34.936044425964354,35.56957908630371,0,0,0,0.0,0.0,0.0,12039.563471767284,0,12500,12039.563471767284,-460.4365282327162,0.0,Timing,Custom
2001-08-31,73.06688690185547,30.938594818115234,33.8532829284668,76.65921371459962,34.82252628326416,35.51528297424316,0,0,0,0.0,0.0,0.0,12039.563471767284,0,12500,12039.563471767284,-460.4365282327162,0.0,Timing,Custom
2001-09-04,72.59957122802734,29.958850860595703,33.674842834472656,76.53849044799804,34.69110263824463,35.462077865600584,0,0,0,0.0,0.0,0.0,12039.563471767284,0,12500,12039.563471767284,-460.4365282327162,0.0,Timing,Custom
2001-09-05,72.77884674072266,29.8405990600586,33.62617111206055,76.43581954956055,34.555455894470214,35.41257118225098,0,0,0,0.0,0.0,0.0,12039.563471767284,0,12500,12039.563471767284,-460.4365282327162,0.0,Timing,Custom
2001-09-06,70.9033432006836,28.632787704467773,32.94490051269531,76.29781494140624,34.3931192779541,35.35132049560547,0,0,0,0.0,0.0,0.0,12039.563471767284,0,12500,12039.563471767284,-460.4365282327162,0.0,Timing,Custom
2001-09-07,69.59112548828125,28.463844299316406,32.27986145019531,76.13446182250976,34.222673873901364,35.276704177856445,0,0,0,0.0,0.0,0.0,12039.563471767284,0,12500,12039.563471767284,-460.4365282327162,0.0,Timing,Custom
2001-09-10,70.44245910644531,28.801713943481445,32.52315902709961,75.97955825805664,34.0495259475708,35.1981298828125,0,0,0,0.0,0.0,0.0,12039.563471767284,0,12500,12039.563471767284,-460.4365282327162,0.0,Timing,Custom
2001-09-17,66.76195526123047,26.35229682922364,30.97891426086425,75.74528396606445,33.804584732055666,35.08451801300049,0,0,0,0.0,0.0,0.0,12539.563471767284,500,13000,12539.563471767284,-460.4365282327162,0.0415297449257606,Timing,Custom
2001-09-18,66.60194396972656,25.76105690002441,30.5831241607666,75.48822296142578,33.552042198181155,34.961043701171874,0,0,0,0.0,0.0,0.0,12539.563471767284,0,13000,12539.563471767284,-460.4365282327162,0.0,Timing,Custom
2001-09-19,65.25769805908203,25.313405990600582,30.171104431152344,75.20466110229492,33.287336883544924,34.8297184753418,0,0,0,0.0,0.0,0.0,12539.563471767284,0,13000,12539.563471767284,-460.4365282327162,0.0,Timing,Custom
