Date,SPY_Price,QQQ_Price,VTI_Price,SPY_MA50,QQQ_MA50,VTI_MA50,Position_SPY,Position_QQQ,Position_VTI,Shares_SPY,Shares_QQQ,Shares_VTI,Cash,Contribution,Total_Invested,Portfolio_Value,Earnings,Daily_Return,Strategy,Portfolio_Type
2001-06-15,77.99559783935547,35.98102188110352,36.02766799926758,,,,1,1,1,42.73745474967538,92.64143037260231,92.52148469340555,0.0,0,10000,10000.0,0.0,0.0,Timing,Equal
2001-06-18,77.61795043945312,35.49958038330078,35.79789352416992,,,,1,1,1,42.73745474967538,92.64143037260231,92.52148469340555,0.0,0,10000,9917.999806757482,-82.00019324251843,-0.0082000193242518,Timing,Equal
2001-06-19,77.95720672607422,35.322208404541016,35.898216247558594,,,,1,1,1,42.73745474967538,92.64143037260231,92.52148469340555,0.0,0,10000,9925.348770451576,-74.65122954842445,0.0007409723570559,Timing,Equal
2001-06-20,78.36686706542969,36.124603271484375,36.2768440246582,,,,1,1,1,42.73745474967538,92.64143037260231,92.52148469340555,0.0,0,10000,10052.222822948204,52.22282294820434,0.0127828306521924,Timing,Equal
2001-06-21,79.25659942626953,36.614501953125,36.56808853149414,,,,1,1,1,42.73745474967538,92.64143037260231,92.52148469340555,0.0,0,10000,10162.579008245018,162.57900824501849,0.0109782868168105,Timing,Equal
2001-06-22,78.63573455810547,36.530033111572266,36.33509826660156,,,,1,1,1,42.73745474967538,92.64143037260231,92.52148469340555,0.0,0,10000,10106.662904505862,106.66290450586166,-0.005502156853471,Timing,Equal
2001-06-25,77.91239166259766,36.6229362487793,36.101505279541016,,,,1,1,1,42.73745474967538,92.64143037260231,92.52148469340555,0.0,0,10000,10062.743379780748,62.743379780748,-0.0043456010297457,Timing,Equal
2001-06-26,77.80357360839844,36.74961853027344,36.0074348449707,,,,1,1,1,42.73745474967538,92.64143037260231,92.52148469340555,0.0,0,10000,10061.125264601744,61.125264601743766,-0.0001608025881148,Timing,Equal
2001-06-27,77.75878143310547,36.986114501953125,36.010677337646484,,,,1,1,1,42.73745474967538,92.64143037260231,92.52148469340555,0.0,0,10000,10081.420286367256,81.42028636725627,0.0020171721583585,Timing,Equal
2001-06-28,78.18763732910156,37.459110260009766,36.45187377929688,,,,1,1,1,42.73745474967538,92.64143037260231,92.52148469340555,0.0,0,10000,10184.387649226004,184.3876492260042,0.0102135770490579,Timing,Equal
2001-06-29,78.47566986083984,38.59935760498047,36.65950775146485,,,,1,1,1,44.86125524685132,96.95929152387605,97.06782688099284,0.0,500,10500,10821.54217491202,321.54217491202144,0.0625618886113825,Timing,Equal
2001-07-02,79.45499420166016,38.38818359375,36.75683975219727,,,,1,1,1,44.86125524685132,96.95929152387605,97.06782688099284,0.0,0,10500,10854.448417414931,354.4484174149311,0.0030408089689099,Timing,Equal
2001-07-03,79.435791015625,38.54867172241211,36.73736572265625,,,,1,1,1,44.86125524685132,96.95929152387605,97.06782688099284,0.0,0,10500,10867.25745190956,367.2574519095615,0.0011800723539373,Timing,Equal
2001-07-05,77.88678741455078,36.69893646240234,36.318878173828125,,,,1,1,1,44.86125524685132,96.95929152387605,97.06782688099284,0.0,0,10500,10577.7965087247,77.79650872469938,-0.0266360619931755,Timing,Equal
