Portfolio_Type,Strategy,CAGR,Sharpe_Ratio,Volatility,Max_Drawdown,Final_Portfolio_Value,Total_Profit
Custom,Buy & Hold,0.24460917408635074,1.1749523679438387,0.20404562952701905,-0.462063490870923,2210672.4341431228,1890172.4341431228
Custom,Timing,0.21172888828347558,1.428840381440803,0.14145918382213044,-0.2413058491993545,1141998.9359436778,821498.9359436778
Equal,Buy & Hold,0.24578246157871453,1.1733607234470829,0.20535595049769173,-0.4624490327779447,2262663.5468991734,1942163.5468991734
Equal,Timing,0.2120948691151212,1.427044251255992,0.14189177213906062,-0.2426335520129015,1150538.82286622,830038.82286622
Single,Buy & Hold,0.23228225677566594,1.172902300527859,0.1942478918089333,-0.4680093281649693,1729330.937148421,1408830.937148421
Single,Timing,0.18962207080189408,1.5573102489140491,0.1158432196282441,-0.22147226865006708,725083.843999153,404583.843999153
